test_id,category,domain,mode,prompt,expected_response,agent_response,word_count,semantic_correctness,obt_adherence,response_completeness,professional_communication,overall_score,rating,execution_time_ms,error,score_breakdown,dimension_explanations,passed_checks,failed_checks
11,outcome_rewriting,OBT Methodology,MODE1,Rewrite 'train staff on new process' as an outcome (≤10 words),Staff competency in new process is established,Staff consistently execute new processes with confidence,7,0.6329,0.75,1.0,1.0,0.7907,GOOD,2311,,Semantic: 0.633 × 0.40 = 0.253 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.633) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
12,classification,OBT Methodology,MODE2,Is 'Improve vendor relationships' a What or How?,How — describes method. Reframe: Vendor delivery reliability increases consistently,How,1,0.2623,0.75,0.7,1.0,0.5824,NEEDS_IMPROVEMENT,1895,,Semantic: 0.262 × 0.40 = 0.105 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: POOR (similarity: 0.262) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
13,acceptance_criteria,OBT Methodology,MODE3,Write a KPI (goal + measure) for 'Operations visibility is comprehensive',Goal: Real-time asset visibility across plants; Measure: % assets with live telemetry (Target: 95%),"**Goal:** Operations visibility is comprehensive

**Measure:** Percentage of operational processes with real-time status monitoring and performance dashboards accessible to stakeholders",20,0.6574,1.0,0.6,1.0,0.7829,GOOD,3279,,Semantic: 0.657 × 0.40 = 0.263 | OBT: 1.000 × 0.25 = 0.250 | Complete: 0.600 × 0.20 = 0.120 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.657) | Complete: Direct answer provided; Minimal context for MODE3; MODE3 missing sources,"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
14,outcome_rewriting,Design Management,MODE1,Reframe 'deploy a new PLM system' into an outcome.,Product data is unified and accessible,Product lifecycle data is seamlessly accessible across all teams.,9,0.6301,0.75,1.0,1.0,0.7895,GOOD,2587,,Semantic: 0.630 × 0.40 = 0.252 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.630) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
15,classification,OBT Methodology,MODE2,Classify: 'Production meets defined run-rate stability' — What or How?,What,What,1,1.0,0.75,0.7,1.0,0.8775,EXCELLENT,2016,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: EXCELLENT (similarity: 1.000) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
16,outcome_rewriting,OBT Methodology,MODE1,Produce ≤10-word outcome for supplier quality.,Supplier parts meet quality standards consistently,Supplier quality consistently exceeds industry-leading performance standards.,7,0.7431,0.75,1.0,1.0,0.8348,GOOD,2654,,Semantic: 0.743 × 0.40 = 0.297 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.743) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
17,acceptance_criteria,Change Control,MODE3,Create a short stakeholder alignment note for Analytics Platform launch.,Sponsor: CIO; Responsible: Data Engineering; Consulted: Business Units; Informed: Execs,"**STAKEHOLDER ALIGNMENT: Analytics Platform Launch**

**Primary Stakeholders:**
- **IT Leadership** (Accountable): Platform deployment, infrastructure readiness
- **Business Unit Heads** (Responsible): User adoption, training completion
- **Data Stewards** (Consulted): Data quality validation, governance compliance
- **End Users** (Informed): Launch timeline, access procedures

**Key Dependencies:**
- Data migration completion (IT prerequisite)
- User training sessions (Business prerequisite)
- Governance framework approval (Data prerequisite)

**Success Criteria:**
- 80% user activation within 30 days
- Zero critical data quality issues
- All business units represented in pilot

**Communication Plan:**
- Weekly status updates to leadership
- Department-specific training schedules
- Post-launch feedback collection

**Risk Mitigation:**
- Rollback procedures documented
- Champion network established
- Help desk resources allocated

Source: Stakeholder management best practices with RACI framework",122,0.6135,1.0,1.0,1.0,0.8454,GOOD,7068,,Semantic: 0.614 × 0.40 = 0.245 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.614) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
18,classification,OBT Methodology,MODE1,Is 'Reduce time-to-market by 20%' a valid outcome statement per OBT?,No — contains metric. Reframe metric-free: Time-to-market is reduced significantly,No,1,0.2109,0.75,0.7,1.0,0.5618,NEEDS_IMPROVEMENT,2507,,Semantic: 0.211 × 0.40 = 0.084 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.211) | Complete: Very brief answer; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
19,outcome_rewriting,OBT Methodology,MODE1,Give an example ≤10-word outcome for culture change.,Employees are engaged and empowered to improve processes,Culture enables continuous strategic innovation and excellence.,7,0.3962,0.75,1.0,1.0,0.696,ACCEPTABLE,2648,,Semantic: 0.396 × 0.40 = 0.158 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.396) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
20,outcome_rewriting,Change Control,MODE1,For Change Control: write a ≤10-word outcome about traceability.,End-to-end traceability is maintained across changes,Change history is completely traceable across all products,8,0.6233,0.75,1.0,1.0,0.7868,GOOD,2217,,Semantic: 0.623 × 0.40 = 0.249 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.623) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
21,classification,Change Control,MODE2,Classify 'All functions contribute effortlessly throughout the change process' — What or How?,What,What,1,1.0,0.75,0.7,1.0,0.8775,EXCELLENT,1911,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: EXCELLENT (similarity: 1.000) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
22,outcome_rewriting,OBT Methodology,MODE1,Rewrite 'implement automated testing' as an outcome.,Product quality is validated continuously,Quality assurance is achieved through automated validation,7,0.621,1.0,1.0,1.0,0.8484,GOOD,2498,,Semantic: 0.621 × 0.40 = 0.248 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.621) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)"", ""\u2713 Proper tense (present passive describing achieved state)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
23,acceptance_criteria,Design Management,MODE3,Create acceptance criteria for 'Design risks are captured and mitigated',Owner: Engineering; Measure: % identified risks mitigated before release (Goal: 95%); Evidence: DFMEA and mitigation logs,"**Design Risk Management Acceptance Criteria**

**WHAT Criteria (Outcome Achievement):**
- All design risks are identified during concept and detailed design phases
- Risk severity and probability are consistently assessed using standardized criteria
- Mitigation strategies are defined and implemented for all medium/high-severity risks
- Risk status is visible to cross-functional stakeholders in real-time
- Design decisions incorporate risk considerations systematically

**HOW Criteria (Implementation Standards):**
- Risk assessment templates are standardized across all product lines
- Design review checkpoints include mandatory risk evaluation gates
- Risk mitigation plans have defined owners, timelines, and success metrics
- Integration with existing design management systems maintains single source of truth
- Automated risk tracking provides alerts for overdue mitigation actions

**Verification Methods:**
- Design review audits show 100% risk documentation compliance
- Risk register completeness validated through peer review process
- Mitigation effectiveness measured through post-launch defect correlation analysis
- Cross-functional team surveys confirm risk visibility and communication effectiveness

**Sources:** Design Management and Collaboration Capability Definitions and Maturities.xlsx, Design Management Pain Points",168,0.5589,1.0,1.0,1.0,0.8236,GOOD,8964,,Semantic: 0.559 × 0.40 = 0.224 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.559) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""\u2713 Confidence level stated"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
24,outcome_rewriting,OBT Methodology,MODE1,Provide a ≤10-word outcome for partner network value.,"A robust, value-generating partner network exists",Partners consistently deliver exceptional value to mutual customers,8,0.66,0.75,1.0,1.0,0.8015,GOOD,2185,,Semantic: 0.660 × 0.40 = 0.264 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.660) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
25,classification,OBT Methodology,MODE1,Is 'Create customer feedback surveys' an outcome? Reframe if needed.,No — it's a How. Reframe: Customer feedback is captured comprehensively,No — How. Reframe: Customer feedback is captured consistently,9,0.7277,1.0,1.0,1.0,0.8911,EXCELLENT,4246,,Semantic: 0.728 × 0.40 = 0.291 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.728) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)"", ""\u2713 Proper tense (present passive describing achieved state)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
26,classification,OBT Methodology,MODE2,Classify 'Decision support improves' — What or How?,What — but needs specificity. Better: Decisions are data-informed consistently,What,1,0.2547,0.75,0.7,1.0,0.5794,NEEDS_IMPROVEMENT,1962,,Semantic: 0.255 × 0.40 = 0.102 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: POOR (similarity: 0.255) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
