test_id,category,domain,mode,prompt,expected_response,agent_response,word_count,semantic_correctness,obt_adherence,response_completeness,professional_communication,overall_score,rating,execution_time_ms,error,score_breakdown,dimension_explanations,passed_checks,failed_checks
11,outcome_rewriting,OBT Methodology,MODE1,Rewrite 'train staff on new process' as an outcome (≤10 words),Staff competency in new process is established,Staff consistently execute new processes with confidence,7,0.6329,0.75,1.0,1.0,0.7907,GOOD,3129,,Semantic: 0.633 × 0.40 = 0.253 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.633) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
12,classification,OBT Methodology,MODE2,Is 'Improve vendor relationships' a What or How?,How — describes method. Reframe: Vendor delivery reliability increases consistently,How,1,0.2623,0.75,0.7,1.0,0.5824,NEEDS_IMPROVEMENT,2130,,Semantic: 0.262 × 0.40 = 0.105 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: POOR (similarity: 0.262) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
13,acceptance_criteria,OBT Methodology,MODE3,Write a KPI (goal + measure) for 'Operations visibility is comprehensive',Goal: Real-time asset visibility across plants; Measure: % assets with live telemetry (Target: 95%),"**Goal:** Operations visibility is comprehensive

**Measure:** Percentage of operational processes with real-time status visibility across all production facilities",18,0.67,1.0,0.6,1.0,0.788,GOOD,3337,,Semantic: 0.670 × 0.40 = 0.268 | OBT: 1.000 × 0.25 = 0.250 | Complete: 0.600 × 0.20 = 0.120 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.670) | Complete: Direct answer provided; Minimal context for MODE3; MODE3 missing sources,"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
14,outcome_rewriting,Design Management,MODE1,Reframe 'deploy a new PLM system' into an outcome.,Product data is unified and accessible,Product lifecycle data is seamlessly accessible across all teams,9,0.6416,0.75,1.0,1.0,0.7941,GOOD,2892,,Semantic: 0.642 × 0.40 = 0.257 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.642) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
15,classification,OBT Methodology,MODE2,Classify: 'Production meets defined run-rate stability' — What or How?,What,What,1,1.0,0.75,0.7,1.0,0.8775,EXCELLENT,1898,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: EXCELLENT (similarity: 1.000) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
16,outcome_rewriting,OBT Methodology,MODE1,Produce ≤10-word outcome for supplier quality.,Supplier parts meet quality standards consistently,Supplier quality consistently exceeds world-class performance standards,7,0.8552,0.75,1.0,1.0,0.8796,EXCELLENT,3399,,Semantic: 0.855 × 0.40 = 0.342 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: EXCELLENT (similarity: 0.855) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
17,acceptance_criteria,Change Control,MODE3,Create a short stakeholder alignment note for Analytics Platform launch.,Sponsor: CIO; Responsible: Data Engineering; Consulted: Business Units; Informed: Execs,Analytics platform delivers actionable business insights across all teams.,9,0.5033,1.0,0.6,1.0,0.7213,ACCEPTABLE,3370,,Semantic: 0.503 × 0.40 = 0.201 | OBT: 1.000 × 0.25 = 0.250 | Complete: 0.600 × 0.20 = 0.120 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.503) | Complete: Direct answer provided; Minimal context for MODE3; MODE3 missing sources,"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""~ Acceptable structure (readable)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
18,classification,OBT Methodology,MODE1,Is 'Reduce time-to-market by 20%' a valid outcome statement per OBT?,No — contains metric. Reframe metric-free: Time-to-market is reduced significantly,No,1,0.2109,0.75,0.7,1.0,0.5618,NEEDS_IMPROVEMENT,2829,,Semantic: 0.211 × 0.40 = 0.084 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.211) | Complete: Very brief answer; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
19,outcome_rewriting,OBT Methodology,MODE1,Give an example ≤10-word outcome for culture change.,Employees are engaged and empowered to improve processes,Culture enables continuous strategic innovation enterprise-wide.,6,0.4064,0.5,1.0,1.0,0.6376,NEEDS_IMPROVEMENT,2747,,Semantic: 0.406 × 0.40 = 0.163 | OBT: 0.500 × 0.25 = 0.125 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.406) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Mentions specific technology: erp"", ""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
20,outcome_rewriting,Change Control,MODE1,For Change Control: write a ≤10-word outcome about traceability.,End-to-end traceability is maintained across changes,Change traceability is maintained across all product lifecycles,8,0.7425,1.0,1.0,1.0,0.897,EXCELLENT,2630,,Semantic: 0.742 × 0.40 = 0.297 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.742) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)"", ""\u2713 Proper tense (present passive describing achieved state)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
21,classification,Change Control,MODE2,Classify 'All functions contribute effortlessly throughout the change process' — What or How?,What,What,1,1.0,0.75,0.7,1.0,0.8775,EXCELLENT,2371,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: EXCELLENT (similarity: 1.000) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
22,outcome_rewriting,OBT Methodology,MODE1,Rewrite 'implement automated testing' as an outcome.,Product quality is validated continuously,Product quality is validated automatically and consistently.,7,0.7423,1.0,1.0,1.0,0.8969,EXCELLENT,3099,,Semantic: 0.742 × 0.40 = 0.297 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.742) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)"", ""\u2713 Proper tense (present passive describing achieved state)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
23,acceptance_criteria,Design Management,MODE3,Create acceptance criteria for 'Design risks are captured and mitigated',Owner: Engineering; Measure: % identified risks mitigated before release (Goal: 95%); Evidence: DFMEA and mitigation logs,"**Acceptance Criteria: Design Risks are Captured and Mitigated**

**Risk Identification**
- Design risks identified across all product development phases (concept through manufacturing)
- Risk assessment includes technical, schedule, cost, and quality dimensions
- Cross-functional teams contribute to risk identification (Engineering, Manufacturing, Quality, Supply Chain)
- Risk register maintained with complete traceability to design decisions

**Risk Assessment & Prioritization**
- Quantitative risk scoring methodology applied consistently
- Risk probability and impact matrices establish clear prioritization
- Critical risks escalated through defined governance structure
- Risk thresholds trigger mandatory mitigation planning

**Mitigation Planning & Execution**
- Mitigation strategies defined for all medium and high-priority risks
- Mitigation plans include specific actions, owners, and timelines
- Alternative design approaches evaluated and documented
- Risk mitigation progress tracked against established milestones

**Verification & Validation**
- Mitigation effectiveness measured through defined metrics
- Design validation confirms risk reduction achievement
- Residual risks documented with acceptance rationale
- Risk closure requires formal verification and sign-off

**Integration & Governance**
- Risk management integrated into standard design workflows
- Regular risk reviews conducted with appropriate stakeholders
- Risk data accessible across product development teams
- Lessons learned captured and applied to future designs

Source: Design Management and Collaboration Capability Definitions and Maturities.xlsx",204,0.607,1.0,1.0,1.0,0.8428,GOOD,8675,,Semantic: 0.607 × 0.40 = 0.243 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.607) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""\u2713 Confidence level stated"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
24,outcome_rewriting,OBT Methodology,MODE1,Provide a ≤10-word outcome for partner network value.,"A robust, value-generating partner network exists",Partners consistently deliver exceptional value to mutual customers,8,0.66,0.75,1.0,1.0,0.8015,GOOD,2863,,Semantic: 0.660 × 0.40 = 0.264 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.660) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
25,classification,OBT Methodology,MODE1,Is 'Create customer feedback surveys' an outcome? Reframe if needed.,No — it's a How. Reframe: Customer feedback is captured comprehensively,No — How. Reframe: Customer insights are systematically captured,9,0.5569,0.75,1.0,1.0,0.7603,GOOD,2982,,Semantic: 0.557 × 0.40 = 0.223 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.557) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
26,classification,OBT Methodology,MODE2,Classify 'Decision support improves' — What or How?,What — but needs specificity. Better: Decisions are data-informed consistently,What,1,0.2547,0.75,0.7,1.0,0.5794,NEEDS_IMPROVEMENT,2188,,Semantic: 0.255 × 0.40 = 0.102 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: POOR (similarity: 0.255) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
